Line in Christus Patiens,Work ID,Line in work,Number of words matching
1,11,1,2
2,11,3,3
3,11,6,4
4,11,20,1
5,6,1123,1
6,11,8,2
8,11,9,3
14,11,10,2
15,11,11,4
17,2,1027,1
25,17,151,2
32,11,14,3
33,11,15,6
34,11,13,2
37,11,16,7
38,11,17,0
39,1,763,3
39,1,764,1
40,15,605,4
41,15,620,6
42,15,621,6
43,11,20,0
45,2,1027,3
46,11,25,5
47,11,26,4
50,8,450,6
51,11,21,5
52,11,22,4
53,11,34,3
54,11,35,2
55,11,36,5
56,11,56,5
57,11,57,6
58,11,58,2
59,11,59,6
61,6,736,6
65,1,611,5
66,1,612,6
71,1,587,3
72,1,588,1
73,1,589,1
75,1,593,2
76,1,591,1
77,15,747,1
78,15,748,2
79,1,594,6
80,1,595,0
81,1,596,0
82,1,597,3
88,14,63,4
90,14,66,3
91,14,90,2
92,14,93,1
93,14,91,5
94,14,92,4
95,14,45,2
96,14,41,0
96,14,42,3
98,14,85,4
99,14,86,5
100,8,865,3
101,8,61,3
101,8,66,0
102,8,594,2
103,8,1,6
104,8,2,0
104,8,3,1
105,8,4,4
107,11,1308,5
108,11,1309,0
109,11,1310,7
110,11,1311,4
111,8,489,6
112,8,499,2
114,11,1319,0
114,12,1327,2
115,11,1320,1
116,11,1255,4
116,11,1256,1
117,11,1256,1
117,11,1257,2
119,11,930,1
119,15,475,1
120,11,1306,7
121,11,1317,2
122,11,1313,0
124,11,1118,3
125,11,1119,5
126,14,85,1
127,11,1120,4
128,8,856,2
128,8,857,3
129,8,865,4
131,8,61,1
131,8,66,1
132,8,594,2
133,8,575,0
134,8,571,6
135,8,572,3
136,8,362,4
138,11,705,6
139,14,91,3
142,8,874,7
144,11,695,3
147,13,1334,2
148,12,852,1
149,12,853,4
149,12,854,0
150,12,855,6
151,12,856,6
155,14,754,2
161,5,1233,2
162,5,1236,0
163,5,1237,2
165,5,1239,0
166,5,1240,1
167,5,1241,2
168,5,1242,6
169,5,1243,2
170,5,1088,3
171,5,1089,0
191,5,263,3
192,5,263,2
193,5,264,5
195,5,265,0
198,8,685,4
199,8,686,3
200,8,687,4
201,8,656,4
202,8,657,4
203,8,658,4
205,11,368,2
206,11,369,3
207,8,659,6
208,8,660,1
209,8,690,3
213,8,692,5
215,8,661,1
218,8,662,3
219,11,267,0
220,11,267,0
223,8,653,2
224,8,663,3
226,11,355,9
227,11,356,3
228,5,211,2
229,8,708,4
230,8,709,1
231,11,1386,7
232,8,779,3
233,8,829,3
234,8,803,1
235,11,1187,3
237,11,351,4
238,11,352,6
240,11,371,3
241,11,372,4
244,8,802,3
246,11,459,4
247,11,460,3
248,11,464,1
251,11,348,4
253,11,365,5
254,11,366,2
255,11,367,4
256,8,1192,2
257,8,1193,3
258,11,1187,2
259,11,354,4
260,8,1296,4
261,8,1297,4
262,5,314,3
263,5,315,2
264,5,316,7
267,8,601,6
268,8,602,5
269,11,335,2
271,11,332,5
272,11,465,7
273,14,835,3
274,14,861,6
275,14,862,4
276,14,875,3
276,14,876,4
277,14,894,3
278,8,1286,1
279,11,1294,3
280,8,1290,4
280,8,1291,1
281,11,1296,4
282,11,1297,2
282,17,970,2
283,11,466,2
283,11,1323,5
284,8,590,3
285,11,1326,1
286,11,467,5
287,11,468,4
288,11,895,0
289,10,1047,2
290,11,1327,5
291,11,465,1
291,11,1328,2
292,11,469,3
293,11,470,0
294,11,471,7
295,11,472,4
296,8,1297,3
298,11,473,5
299,11,474,2
301,11,475,7
302,8,1296,1
304,11,476,0
304,11,482,0
316,11,488,5
317,11,489,3
318,11,490,3
319,11,491,2
322,8,1250,2
323,8,1252,4
324,8,1253,1
325,8,1254,4
329,11,492,3
331,11,493,3
332,11,494,3
333,15,766,4
334,15,767,4
335,15,768,6
336,15,769,6
337,15,770,5
340,8,682,2
340,11,1346,2
341,8,683,0
343,8,684,4
344,8,682,1
344,11,1346,2
345,8,614,1
347,11,516,8
348,11,517,4
349,11,518,6
350,11,519,3
352,14,720,3
353,8,682,2
353,11,1346,3
354,6,1046,2
354,11,1329,1
355,8,38,1
356,8,39,2
357,11,928,4
359,6,1046,0
359,6,1069,1
360,12,849,4
361,12,850,6
362,12,851,4
363,12,857,2
363,12,858,3
364,12,857,1
365,12,859,5
366,12,860,5
367,12,861,5
368,12,862,3
369,11,1293,4
370,8,354,5
371,8,356,4
372,8,357,6
373,5,1041,1
374,12,857,2
374,12,863,2
375,12,864,4
376,12,866,5
377,12,867,2
378,12,868,3
378,12,869,3
381,12,871,5
382,12,874,7
383,12,875,5
384,12,876,3
385,12,877,6
386,12,878,2
387,12,879,8
388,12,881,4
389,12,882,1
391,12,884,4
392,12,890,1
393,12,892,2
394,12,890,2
395,12,922,2
396,12,921,2
397,12,891,3
399,12,885,3
400,12,886,4
403,12,901,2
405,12,917,2
406,12,943,7
407,12,917,3
408,12,905,2
409,12,902,5
410,12,903,0
411,12,923,2
412,12,944,5
413,12,945,1
416,12,847,5
417,12,848,1
417,12,878,1
418,12,948,4
419,8,881,6
420,8,822,2
421,8,823,5
422,8,824,5
423,8,936,4
424,8,937,6
425,8,938,1
426,11,346,3
428,11,930,1
428,15,475,1
429,11,1031,2
430,11,347,3
434,11,292,6
435,11,293,1
437,11,1317,3
438,5,1030,2
439,8,489,5
441,11,1313,0
442,12,847,5
443,12,848,2
443,12,878,0
444,5,1280,2
448,11,1008,0
449,11,1008,3
451,11,1008,2
453,11,1042,7
454,3,482,1
454,4,71,0
461,11,1399,3
462,11,1069,2
463,11,1069,1
463,11,1402,3
464,8,1359,1
464,11,1403,1
465,11,1400,1
465,11,1403,1
466,11,1040,3
466,11,1042,3
467,11,894,0
468,11,895,3
469,11,899,3
469,11,902,2
470,11,903,6
471,11,277,6
472,11,1043,3
474,11,1271,4
475,11,278,6
476,11,279,5
477,11,1271,3
478,11,1272,5
479,11,906,5
481,11,403,5
484,11,91,1
484,11,101,2
485,11,38,5
487,11,104,1
488,11,103,2
488,11,104,1
489,11,37,5
491,11,39,1
492,11,40,6
493,11,43,3
498,14,137,2
504,11,145,6
505,11,146,0
506,11,123,1
506,11,124,1
512,11,930,1
513,11,1031,4
516,11,930,1
516,15,475,1
517,8,986,1
518,8,990,5
519,8,991,7
520,8,992,4
521,8,1003,5
522,1,611,2
522,8,1004,3
523,8,1005,7
524,8,1006,4
525,8,1026,1
526,8,1027,7
527,8,1028,3
528,8,1030,5
529,8,1030,2
532,8,1033,6
533,15,467,2
534,15,468,1
535,15,472,4
536,15,473,6
537,15,474,0
538,15,645,4
539,15,646,2
540,14,772,0
541,15,647,7
542,15,648,5
543,15,649,5
544,15,650,5
545,15,651,5
546,15,652,6
547,15,653,4
548,8,431,3
549,8,432,3
550,15,654,6
551,15,655,5
552,15,656,4
553,15,675,5
554,15,676,2
558,15,457,1
559,15,477,0
559,15,478,3
560,8,61,1
560,8,66,1
561,8,547,2
563,8,1057,3
564,8,1058,3
565,5,333,0
565,5,335,3
566,5,1069,0
568,8,278,3
569,5,285,2
570,5,283,1
571,5,280,4
572,5,287,6
575,5,288,2
577,5,289,1
578,5,290,1
579,5,290,1
580,5,291,4
584,5,312,2
585,5,289,0
586,5,313,4
587,5,306,0
588,5,307,0
590,11,743,1
590,15,682,2
591,15,681,3
592,15,682,5
593,15,683,7
595,11,1077,2
596,11,1078,2
597,11,1079,4
598,8,66,1
599,5,333,1
599,5,335,2
600,14,83,7
601,8,120,3
604,11,1196,1
605,8,570,4
606,8,1091,8
609,8,569,4
610,8,598,5
611,8,599,5
612,8,600,5
613,11,743,1
614,11,340,3
615,11,341,0
616,11,712,2
617,14,39,1
617,14,40,1
618,14,34,2
620,14,35,4
622,15,686,6
623,15,687,6
624,15,688,7
625,15,689,4
626,15,690,9
627,15,691,8
628,15,692,4
629,15,693,3
630,15,694,4
631,15,695,6
632,15,696,4
635,15,706,7
636,15,707,3
637,15,708,1
640,15,710,5
641,15,711,0
642,15,712,8
643,15,713,1
644,8,1157,4
646,8,61,1
646,8,66,0
647,5,1027,5
649,5,1029,5
650,8,1162,5
651,8,1163,6
652,5,1032,5
653,5,1041,5
657,5,1043,3
658,5,1044,1
660,5,1064,0
661,5,1065,0
662,5,1073,6
663,5,1068,1
666,5,1095,3
667,5,1096,1
668,5,1097,2
669,5,1099,1
671,5,1086,5
673,5,1087,2
675,5,1046,3
676,5,1048,3
677,5,1049,8
678,5,1050,2
683,11,1042,7
684,11,145,1
686,8,1098,2
687,8,1099,4
688,11,894,1
692,11,145,3
695,11,1043,1
696,11,1168,2
697,11,1043,5
699,11,1076,3
700,2,613,5
701,2,614,4
702,2,620,5
703,8,316,2
704,8,317,0
707,8,318,5
708,8,319,4
712,11,281,3
713,11,1208,2
714,8,845,1
714,12,834,2
715,8,846,5
715,8,875,4
716,15,628,5
717,15,629,7
718,12,649,5
719,12,650,1
720,8,1091,7
721,11,1078,3
722,11,1079,3
723,8,458,2
724,8,853,2
724,8,854,1
725,11,231,0
726,11,903,1
730,11,922,4
731,11,1012,4
732,11,1005,4
733,11,924,6
734,11,1008,1
736,11,767,2
737,11,929,2
738,11,925,3
739,11,872,2
740,8,458,2
741,11,791,5
742,11,792,1
743,11,1117,2
744,11,1079,2
745,8,43,2
746,8,44,0
748,11,928,6
749,8,38,3
750,8,39,2
751,8,47,5
752,8,838,1
753,11,225,3
754,11,226,4
755,11,227,4
756,11,255,2
757,11,257,5
758,11,258,4
760,11,712,3
761,11,926,5
761,8,521,2
762,11,745,6
763,11,716,7
764,11,947,3
764,11,718,1
766,11,719,6
767,11,734,1
767,11,927,2
768,11,935,6
769,11,930,2
769,15,475,1
770,11,1079,2
771,11,709,4
773,11,710,2
774,11,711,4
775,11,712,5
776,11,713,6
778,11,714,5
779,11,715,1
782,11,743,3
785,11,1037,2
786,14,894,1
787,14,619,1
788,11,1302,0
789,11,755,4
790,11,1301,7
791,11,1304,3
792,11,1305,2
793,11,1258,3
794,11,1259,2
796,11,908,6
797,11,719,6
798,11,720,2
799,11,946,3
800,11,1223,2
802,8,1454,5
803,8,1389,4
804,8,1390,5
806,11,882,4
807,11,883,4
808,11,872,1
809,11,204,2
810,11,131,4
811,11,207,2
812,8,1342,5
813,8,1152,0
814,11,207,1
815,8,1325,4
816,8,1326,7
817,11,1397,1
818,8,615,5
820,8,1440,1
821,8,1442,4
822,8,1443,5
823,8,1419,5
824,11,1222,8
827,8,1435,2
829,8,1454,3
835,11,932,6
836,11,933,6
837,11,790,3
838,8,1090,5
843,8,902,1
844,8,903,4
845,8,904,8
846,8,300,4
847,11,689,5
848,8,565,4
849,8,567,2
850,8,1439,3
852,8,1441,2
853,8,905,2
853,8,906,1
853,5,1280,3
854,5,1281,0
854,8,906,4
855,8,907,1
857,8,1215,6
858,8,1216,3
859,8,1217,3
860,8,907,3
861,8,908,3
862,8,909,5
863,8,910,4
864,8,912,5
865,8,913,6
866,11,1008,0
867,11,1008,3
868,11,1042,7
869,11,1043,1
870,11,1168,2
871,11,1202,4
872,11,1203,1
874,11,1076,5
875,11,1077,4
876,11,1078,3
877,11,1079,2
878,11,1234,3
879,11,1235,3
880,11,1218,2
881,11,1219,4
882,11,1218,0
884,11,281,6
885,11,1208,2
886,11,1209,1
887,11,1210,4
888,11,386,4
889,11,387,6
890,11,388,4
891,11,389,6
892,11,390,1
896,8,1409,5
897,8,839,5
898,8,1410,7
899,8,1408,6
900,8,1444,7
901,8,1447,4
902,8,836,8
903,8,837,1
903,8,838,1
904,8,845,1
905,8,846,6
906,11,1183,4
907,6,197,1
907,6,198,1
908,11,1029,3
910,11,1030,4
910,15,760,5
912,17,2,3
914,11,930,3
914,15,475,1
915,11,1032,5
916,11,1033,3
917,11,1034,5
918,11,1035,4
919,11,1036,1
921,7,636,3
921,11,1071,0
925,8,297,0
927,8,297,2
927,8,300,2
936,11,-15,0
938,11,-16,1
940,11,-17,3
945,11,30,0
945,11,31,1
946,11,32,5
948,11,32,1
949,11,33,2
950,11,34,3
951,11,35,1
963,8,1423,1
964,8,1424,2
965,8,692,5
966,17,1128,1
967,11,1383,4
968,11,1382,2
972,11,27,6
973,11,28,1
974,11,30,2
982,11,340,2
982,11,341,0
983,15,618,1
983,15,619,0
986,11,930,1
987,11,1031,2
1004,11,927,1
1005,15,860,0
1008,8,135,2
1008,8,136,1
1009,8,137,1
1010,8,355,5
1012,11,1224,3
1013,11,1225,6
1014,11,1226,5
1015,11,1227,3
1016,11,1228,4
1017,11,1229,3
1018,11,1230,7
1019,11,230,7
1020,11,231,4
1022,11,250,2
1022,11,251,5
1024,11,252,9
1025,8,61,0
1025,8,1440,2
1026,11,579,3
1030,11,1018,3
1032,5,333,0
1032,5,335,1
1034,15,466,7
1035,11,1011,2
1036,11,1010,2
1037,11,1010,1
1038,11,1010,2
1039,15,467,2
1040,15,468,3
1042,8,117,5
1043,8,118,6
1044,8,119,5
1045,8,120,2
1046,11,111,2
1047,11,112,1
1048,5,1244,7
1049,5,1245,4
1050,5,1161,4
1051,5,1162,3
1051,5,1163,1
1052,5,1163,3
1052,5,1164,1
1053,5,1259,5
1054,5,1260,5
1055,5,1261,7
1056,5,1262,4
1058,5,1263,2
1059,11,113,1
1060,6,256,3
1060,14,605,0
1062,5,1144,1
1063,11,364,4
1064,8,189,1
1065,8,458,3
1067,11,1017,3
1072,11,1118,2
1075,11,37,6
1076,11,43,1
1079,2,69,2
1079,11,1202,2
1080,11,1252,2
1081,14,790,0
1082,11,1198,2
1082,11,1199,0
1082,5,742,0
1083,14,794,1
1084,14,795,0
1085,14,790,1
1088,11,1205,1
1089,11,1195,3
1090,11,1206,1
1091,11,1199,0
1092,11,1201,0
1095,11,1231,4
1096,11,1232,3
1097,11,95,6
1099,5,991,2
1101,5,760,0
